sno,heading,sub-heading,link
92,11 killed in two Road accidents,"Six persons, including two women, were killed when an over-loaded jeep in which they were traveling collided head-on with a truck near village Muklan, about 19 kms from the city on Hisar-Rajgarh road on Tuesday evening.",https://timesofindia.indiatimes.com/city/chandigarh/11-killed-in-two-road-accidents/articleshow/19813620.cms
93,"6 killed, 30 injured in Road accident in Maharashtra","Six persons were killed while 30 others injured in a Road accident near Yelwadi village on Beed-Ahmadnagar road here this morning, police said.",https://timesofindia.indiatimes.com/city/mumbai/6-killed-30-injured-in-road-accident-in-maharashtra/articleshow/20137873.cms
94,Over 21k people die in Road accidents in last six years,"Over 21,000 people died in the state in Road accidents in the six-year period from 2010 till September-end this year.",https://timesofindia.indiatimes.com/city/bhubaneswar/over-21k-people-die-in-road-accidents-in-last-six-years/articleshow/50070962.cms
95,Three cops injured in Road accident,Three cops were injured in an accident in the Gangapur Road area while patrolling the region in their vehicle in the wee hours of Sunday.,https://timesofindia.indiatimes.com/city/nashik/three-cops-injured-in-road-accident/articleshow/19775397.cms
96,"Bhavnagar industrialist, son-in-law killed in Road accident",The Duo Was Returning From Ahmedabad After Buying A New Car,https://timesofindia.indiatimes.com/city/rajkot/bhavnagar-industrialist-son-in-law-killed-in-road-accident/articleshow/45966591.cms
97,Organs transplanted from Chennai Road accident victim,"The organs of a 28-year-old brain dead patient, who was admitted to a private hospital at Vanagaram in Chennai, was harvested and transplanted to those in need of organs on Tuesday.",https://timesofindia.indiatimes.com/city/chennai/organs-transplanted-from-chennai-road-accident-victim/articleshow/38466534.cms
98,Rural Nashik sees decline in Road accident fatalities,"There has been a significant drop in the number of fatal accidents in rural parts of the district this year, as compared to the corresponding period from January 1 to June 30, 2013, Nashik rural police said.",https://timesofindia.indiatimes.com/city/nashik/rural-nashik-sees-decline-in-road-accident-fatalities/articleshow/38335249.cms
99,Woman killed in Road accident,A 49-year-old woman was crushed to death and her son sustained injuries in a Road accident when a mini bus hit their motor bike in Rajendra Nagar area.,https://timesofindia.indiatimes.com/city/indore/woman-killed-in-road-accident/articleshow/15099977.cms
100,Contractor killed in Road accident,"Shivayogayya Pujar, 50, a Dharwad-based contractor was killed when his Tata Safari rammed a truck near Motebennur of Haveri district on Sunday.",https://timesofindia.indiatimes.com/city/hubballi/contractor-killed-in-road-accident/articleshow/15099689.cms
101,Pediatrician killed in Road accident,A pediatrician working at a private hospital was killed on Sunday after the motorcycle he was driving was hit by a rashly driven truck coming from the opposite direction at Sikar road area in the city.,https://timesofindia.indiatimes.com/city/jaipur/pediatrician-killed-in-road-accident/articleshow/15098841.cms
102,Four killed in separate Road accidents,Two people were killed and three others injured after a truck rammed into a stationary mini-truck on National Highway-8 near Haryana's Manesar town early on Friday.,https://timesofindia.indiatimes.com/city/gurgaon/four-killed-in-separate-road-accidents/articleshow/19641437.cms
103,"Father, son killed in Road accident",A man and his eight-year-old son died on Thursday after the bike they were travelling collided with a KSRTC fast passenger bus at Ezhukone,https://timesofindia.indiatimes.com/city/kochi/father-son-killed-in-road-accident/articleshow/19624412.cms
104,Pedder Road accident: DNA samples collected,The Gamdevi police probing Sunday's Pedder Road accident collected two sets of fingerprints from the Aston Martin that was involved in the mishap and said they have not made any arrests yet as facts are still being verified.,https://timesofindia.indiatimes.com/city/mumbai/pedder-road-accident-dna-samples-collected/articleshow/27230220.cms
