sno,data,link,date
89,[],https://timesofindia.indiatimes.com/city/nashik/114-road-accidents-involving-st-buses-in-nashik-district-in-8-months-9-deaths/articleshow/96123894.cms,"Dec 10, 2022"
90,[],https://timesofindia.indiatimes.com/city/nashik/elderly-man-killed-in-road-accident-in-nashik-city/articleshow/95842798.cms,"Nov 29, 2022"
91,['near Jail Road water tank'],https://timesofindia.indiatimes.com/city/nashik/four-people-killed-in-3-separate-road-accidents-in-nashik/articleshow/96161375.cms,"Dec 12, 2022"
92,['near Jail Road water tank'],https://timesofindia.indiatimes.com/city/nashik/four-people-killed-in-3-separate-road-accidents-in-district/articleshow/96160479.cms,"Dec 12, 2022"
93,"[['73.2706858038461', '18.831028550599314']]",https://timesofindia.indiatimes.com/city/navi-mumbai/maharashtra-5-injured-as-bus-rams-into-median-in-khalapur/articleshow/93996739.cms," Sep 5, 2022"
94,"[['74.07111211006567', '20.25956912789941']]",https://timesofindia.indiatimes.com/city/nashik/two-killed-in-separate-road-accidents-in-nashik/articleshow/95174428.cms,"Oct 30, 2022"
95,"[['75.5653463812424', '12.842534318389488']]",https://timesofindia.indiatimes.com/city/nashik/ahmednagar-shirdi-nh-to-be-re-laid-at-750-crore/articleshow/95797633.cms,"Nov 27, 2022"
96,[],https://timesofindia.indiatimes.com/city/nashik/8pm-midnight-is-peak-time-for-nashik-city-road-accidents/articleshow/95797618.cms,"Nov 27, 2022"
97,[],https://timesofindia.indiatimes.com/city/nagpur/10-months-868-accidents-253-dead-953-injured-nagpur-traffic-police-study/articleshow/95773643.cms,"Nov 26, 2022"
98,"[['72.0431380501599', '24.68998411339258'], ['72.79843071998505', '19.34816840579625']]",https://timesofindia.indiatimes.com/city/mumbai/former-maharashtra-health-minister-deepak-sawant-injured-in-road-accident/articleshow/97174887.cms,"Jan 20, 2023"
99,"[['72.956655845', '19.2754316894']]",https://timesofindia.indiatimes.com/city/nashik/cyclist-killed-in-road-accident/articleshow/94409008.cms,"Sep 24, 2022"
100,"[['74.07111211006567', '20.25956912789941']]",https://timesofindia.indiatimes.com/city/nashik/woman-killed-in-road-accident/articleshow/93742384.cms,"Aug 24, 2022"
101,"[['73.34882129793546', '18.764206674812016']]",https://timesofindia.indiatimes.com/city/nagpur/enforcement-can-bring-down-road-accidents-transport-commissioner/articleshow/95794464.cms,"Nov 27, 2022"
102,"[['74.07111211006567', '20.25956912789941']]",https://timesofindia.indiatimes.com/city/nashik/just-300-traffic-personnel-struggle-to-man-2200km-of-nashik-city-roads/articleshow/95498609.cms,"Nov 14, 2022"
103,"[['74.07111211006567', '20.25956912789941']]",https://timesofindia.indiatimes.com/city/nashik/missing-faded-zebra-stripes-strip-pedestrians-of-safety-on-nashik-roads/articleshow/95481703.cms,"Nov 14, 2022"
104,"[['77.09057499506972', '19.361791748547702'], ['84.40908386662242', '24.790447868077344']]",https://timesofindia.indiatimes.com/city/nashik/vehicle-hits-leopard-on-highway-in-nashik/articleshow/95463434.cms,"Nov 12, 2022"
105,"[['75.78089366049537', '19.743350071305976'], ['76.65102021311372', '20.812474767633688'], ['77.96765586149934', '30.470393974106788']]",https://timesofindia.indiatimes.com/city/pune/maharashtra-5-killed-1-injured-as-truck-hits-bus-in-ranjangaon/articleshow/93613821.cms,"Aug 17, 2022"
106,"[['73.01923001143297', '19.793999718639288']]",https://timesofindia.indiatimes.com/city/thane/25-passengers-injured-in-collision-between-two-msrtc-buses-in-palghar/articleshow/95349439.cms," Nov 7, 2022"
107,"[['74.20971173660661', '20.28665071237063'], ['73.13016967599597', '19.329560918629795']]",https://timesofindia.indiatimes.com/city/nashik/truck-carrying-cans-of-palm-oil-falls-in-kotambhi-ghat/articleshow/95329591.cms," Nov 6, 2022"
108,"[['73.34882129793546', '18.764206674812016']]",https://timesofindia.indiatimes.com/city/navi-mumbai/six-injured-in-road-accident-on-mumbai-pune-expressway/articleshow/93998178.cms," Sep 5, 2022"
110,"[['82.61959280935696', '23.265283689716718']]",https://timesofindia.indiatimes.com/city/nashik/16-road-fatalities-on-ghoti-kasara-section-this-year/articleshow/95191154.cms,"Oct 31, 2022"
111,[],https://timesofindia.indiatimes.com/city/nagpur/schools-cant-be-held-responsible-for-road-accidents-feel-stakeholders/articleshow/95723489.cms,"Nov 24, 2022"
